Run,Model,Final5_TestAcc,TotalTime(s),FinalParamCount
1,mode_NNN,0.870300,1296.650000,9263808
1,mode_NZZ,0.871040,1296.830000,9263808
1,mode_ZNN,0.872240,1297.240000,9263808
1,mode_ZNZ,0.873880,1296.970000,9263808
2,mode_NNN,0.867620,1299.710000,9263808
2,mode_NZZ,0.865480,1299.060000,9263808
2,mode_ZNN,0.874340,1299.560000,9263808
2,mode_ZNZ,0.873560,1299.400000,9263808
3,mode_NNN,0.870820,1295.540000,9263808
3,mode_NZZ,0.872540,1295.300000,9263808
3,mode_ZNN,0.872900,1296.320000,9263808
3,mode_ZNZ,0.874520,1295.320000,9263808
